Year,WkNo,Cases,avg_rainfall,tot_rainfall,max_30m_rainfall,max_60m_rainfall,max_120m_rainfall,avg_temp,max_temp,min_temp,avg_wind,max_wind,log_cases,log_avg_rainfall,log_tot_rainfall,log_max_30m_rainfall,log_max_60m_rainfall,log_max_120m_rainfall,log_avg_mean_temp,log_max_temp,log_min_temp,log_avg_wind,log_max_wind,z_cases,z_avg_rainfall,z_tot_rainfall,z_avg_temp,z_max_temp,z_min_temp,z_avg_wind,z_max_wind,mm_cases,mm_avg_rainfall,mm_tot_rainfall,mm_avg_temp,mm_max_temp,mm_min_temp,mm_avg_wind,mm_max_wind
2013,52,413,2.53907563,17.77352941,NA,NA,NA,26.61160714,32.5,23.2,10.7470063,50.8,6.025865974,1.263865572,2.932447868,NA,NA,NA,3.318236233,3.511545439,3.186352633,2.463598425,3.947390149,0.42787288,-0.780095108,-0.778774231,-1.748053055,-2.364995166,0.371109641,1.374467821,-0.96848117,0.220022624,0.091926237,0.091926237,0.371246177,0.230769231,0.935483871,0.564119637,0.150048403
2014,1,437,3.080882353,24.64705882,30.6,42.2,52,26.2546875,32.4,22.6,9.225827206,72.4,6.08221891,1.406313228,3.244428899,3.453157121,3.765840495,3.970291914,3.305225525,3.5085559,3.161246712,2.324916599,4.295923936,0.512517161,-0.65711,-0.556956388,-2.174708703,-2.477819568,0.088542507,0.503010462,0.352723941,0.233597285,0.111542137,0.127476728,0.306704482,0.215384615,0.911290323,0.402361164,0.359148112
2014,2,479,7.389915966,51.72941176,23,26.2,30.6,26.50892857,34,22.4,7.792436975,66.2,6.173786104,2.127030505,3.965173398,3.17805383,3.303216973,3.453157121,3.314510627,3.555348061,3.152736022,2.173891917,4.207673248,0.660644653,0.321000722,0.317026794,-1.870793267,-0.672629147,-0.005646537,-0.318154165,-0.026510859,0.257352941,0.267549009,0.267549009,0.352678835,0.461538462,0.903225806,0.249937945,0.299128751
2014,3,402,0.021848739,0.152941176,1,1,1,26.24196429,31.1,22,12.74285714,51.5,5.998936562,0.021613476,0.142316222,0.693147181,0.693147181,0.693147181,3.304758589,3.46885603,3.135494216,2.620519209,3.96081317,0.389077585,-1.351482298,-1.347413809,-2.189917816,-3.944536784,-0.194024626,2.517856464,-0.925664338,0.213800905,0.000791025,0.000791025,0.304403746,0.015384615,0.887096774,0.776353545,0.156824782
2014,4,336,0,0,0,0,0,25.78660714,31,21,12.39747899,47.9,5.82008293,0,0,0,0,0,3.287902029,3.465735903,3.091042453,2.595066554,3.889777396,0.156305813,-1.35644176,-1.352349423,-2.734243971,-4.057361185,-0.664969848,2.319995257,-1.14586519,0.176470588,0,0,0.222061622,0,0.846774194,0.739626875,0.121974831
2014,5,236,0,0,0,0,0,26.21684524,34.3,20.1,12.22184874,53.6,5.468060141,0,0,0,0,0,3.303836092,3.563882964,3.04927304,2.581870669,4.000033883,-0.19637869,-1.35644176,-1.352349423,-2.219944697,-0.334155944,-1.088820548,2.219379704,-0.797213841,0.119909502,0,0,0.299861475,0.507692308,0.810483871,0.720950783,0.177153921
2014,6,274,0.824369748,5.770588235,13.2,15,15.6,26.70803571,34.9,21.1,9.321848739,41.4,5.616771098,0.601234584,1.912587972,2.653241965,2.772588722,2.809402695,3.321722469,3.580737295,3.095577609,2.334262885,3.747148362,-0.062358579,-1.169317462,-1.166124944,-1.632783987,0.342790464,-0.617875326,0.558019548,-1.543450061,0.141402715,0.029845983,0.029845983,0.388683332,0.6,0.850806452,0.41257186,0.059051307
2014,7,369,2.4,16.8,33.2,59,60,27.58571429,35.3,20.8,11.26806723,59.8,5.913503006,1.223775432,2.879198457,3.532225644,4.094344562,4.110873864,3.352907093,3.591817741,3.08190997,2.506999726,4.107589789,0.272691699,-0.811663988,-0.810191306,-0.583622006,0.794088069,-0.759158893,1.672974669,-0.41797904,0.195135747,0.086891059,0.086891059,0.54739374,0.661538462,0.838709677,0.619527984,0.237173282
2014,8,194,0.03697479,0.258823529,0.6,0.6,0.6,27.60803571,34.8,22,12.58319328,53.6,5.272999559,0.036307618,0.230177578,0.470003629,0.470003629,0.470003629,3.353687647,3.577947893,3.135494216,2.60883324,4.000033883,-0.344506181,-1.348048825,-1.343996847,-0.556939352,0.229966063,-0.194024626,2.426387779,-0.797213841,0.096153846,0.001338658,0.001338658,0.551430119,0.584615385,0.887096774,0.759375279,0.177153921
2014,9,187,0,0,0,0,0,27.46470238,35.3,22.1,11.88319328,48.2,5.236441963,0,0,0,0,0,3.348664807,3.591817741,3.139832618,2.555923615,3.895893623,-0.369194097,-1.35644176,-1.352349423,-0.728277571,0.794088069,-0.146930104,2.025369811,-1.127515119,0.09219457,0,0,0.525511186,0.661538462,0.891129032,0.684938987,0.124878993
2014,10,210,0.027871148,0.195098039,2.8,2.8,2.8,27.63398109,35.8,22,10.47633053,55.1,5.351858133,0.027489817,0.178228223,1.335001067,1.335001067,1.335001067,3.354594163,3.605497845,3.135494216,2.4402867,4.027135813,-0.288076661,-1.350115267,-1.346053352,-0.525924689,1.358210075,-0.194024626,1.219402324,-0.705463486,0.10520362,0.001009064,0.001009064,0.556121816,0.738461538,0.887096774,0.535336636,0.191674734
2014,11,225,4.545238095,31.81666667,24.4,33.2,43,27.88403361,36.3,23,10.61111111,75.2,5.420534999,1.712939559,3.490936516,3.234749174,3.532225644,3.784189634,3.363288972,3.618993327,3.17805383,2.451962494,4.333361463,-0.235173985,-0.324714809,-0.325583704,-0.227016175,1.922332082,0.276920596,1.296615802,0.52399127,0.113687783,0.164558562,0.164558562,0.601338754,0.815384615,0.927419355,0.549668874,0.38625363
2014,12,210,9.571101774,66.99771242,52.8,63.6,71.4,27.01134454,34.7,22.2,7.375163399,57.2,5.351858133,2.35812403,4.219474064,3.985273467,4.168214411,4.282206299,3.33260959,3.575150689,3.144152279,2.125270588,4.063885355,-0.288076661,0.816109699,0.809754956,-1.270213798,0.117141662,-0.099835582,-0.557203025,-0.577012989,0.10520362,0.346517986,0.346517986,0.443530595,0.569230769,0.89516129,0.205566091,0.212003872
2014,13,225,1.384313725,9.690196078,12.8,13.4,16.2,28.39821429,35.3,22.6,8.538655462,45.7,5.420534999,0.868911337,2.369327067,2.624668592,2.667228207,2.844909384,3.380933934,3.591817741,3.161246712,2.255352539,3.843744165,-0.235173985,-1.042215365,-1.039634039,0.387626623,0.794088069,0.088542507,0.109341581,-1.280432377,0.113687783,0.050118535,0.050118535,0.694317923,0.661538462,0.911290323,0.329288998,0.100677638
2014,14,240,5.421691176,37.95183824,44.2,47,47.6,28.32625,35.4,22.8,6.787132353,92.9,5.484796933,1.859681506,3.662325966,3.811097087,3.871201011,3.883623531,3.378483019,3.594568775,3.169685581,2.052472673,4.542230386,-0.18227131,-0.125768077,-0.127593641,0.301601745,0.90691247,0.182731552,-0.894075905,1.606645459,0.122171946,0.196290202,0.196290202,0.681304638,0.676923077,0.919354839,0.143036305,0.557599226
2014,15,247,4.535154062,31.74607843,28.6,42.6,43.8,27.93823529,35.3,22.4,6.014098973,74.2,5.513428746,1.7111194,3.488783212,3.387774361,3.77505715,3.802208139,3.365163741,3.591817741,3.152736022,1.947922262,4.320151231,-0.157583395,-0.327003791,-0.32786168,-0.162224411,0.794088069,-0.005646537,-1.336933441,0.462824367,0.126131222,0.164193474,0.164193474,0.611140031,0.661538462,0.903225806,0.060833821,0.376573088
2014,16,235,7.700793651,53.90555556,44.6,55.6,68,28.29159664,35.8,22.3,5.788095238,55.4,5.463831805,2.163414246,4.005614537,3.819907717,4.036008985,4.234106505,3.377300671,3.605497845,3.148453361,1.915170378,4.032469159,-0.199905535,0.391567077,0.387253819,0.260177708,1.358210075,-0.052741059,-1.466407097,-0.687113415,0.119343891,0.278804214,0.278804214,0.675038279,0.738461538,0.899193548,0.036801136,0.194578896
2014,17,282,6.728571429,47.1,44,51.2,53.6,28.0907563,35.7,22.7,5.7,118.8,5.645446898,2.044924037,3.873282177,3.80666249,3.955082495,4.000033883,3.370420471,3.602776755,3.165475048,1.902107526,4.785823686,-0.034143819,0.170881637,0.167629582,0.020096599,1.245385674,0.13563703,-1.516875345,3.190868254,0.145927602,0.243605289,0.243605289,0.638720369,0.723076923,0.915322581,0.027433303,0.808325266
2014,18,251,4.477777778,31.34444444,34,37.8,44.6,28.85908613,35,23.7,6.128571429,61.2,5.529429088,1.700699504,3.476442273,3.555348061,3.658420247,3.819907717,3.396489187,3.583518938,3.206803244,1.964110854,4.130355,-0.143476015,-0.340027676,-0.340822937,0.938544963,0.455614865,0.606582252,-1.271354139,-0.332345376,0.128393665,0.162116188,0.162116188,0.77765727,0.615384615,0.955645161,0.073006543,0.250726041
2014,19,261,5.579365079,39.05555556,44.6,46,46,28.82605042,35.4,22.7,6.119047619,48.2,5.568344504,1.883938248,3.690267379,3.819907717,3.850147602,3.850147602,3.395382187,3.594568775,3.165475048,1.962773955,3.895893623,-0.108207564,-0.089977561,-0.09197523,0.899054635,0.90691247,0.13563703,-1.276810166,-1.127515119,0.134049774,0.201998724,0.201998724,0.77168343,0.676923077,0.915322581,0.071993804,0.124878993
2014,20,292,11.68730159,81.81111111,34.2,55.4,66.8,28.37394958,34.6,22.7,6.521428571,62.3,5.680172609,2.540601618,4.416562245,3.561046083,4.032469159,4.216562195,3.380108213,3.572345638,3.165475048,2.01775609,4.147885329,0.001124632,1.296467457,1.287802833,0.358621008,0.00431726,0.13563703,-1.046293034,-0.265061782,0.15158371,0.42313417,0.42313417,0.689930142,0.553846154,0.915322581,0.114782013,0.261374637
2014,21,429,7.2,50.4,35.6,55.8,67.8,28.09327731,35.1,21.6,6.365873016,54,6.063785209,2.104134154,3.939638172,3.60004824,4.039536326,4.231203745,3.370507127,3.586292865,3.117949906,1.996857579,4.007333185,0.484302401,0.277891556,0.274124926,0.023110169,0.568439267,-0.382402715,-1.135408138,-0.77274708,0.229072398,0.260673176,0.260673176,0.639176242,0.630769231,0.870967742,0.098240615,0.181026137
2014,22,456,6.171708683,43.20196078,45.6,52.2,52.8,28.50420168,34.1,22.7,6.676190476,53.3,6.124683391,1.970143936,3.78876915,3.841600541,3.974058396,3.985273467,3.384532683,3.55820113,3.165475048,2.038123392,3.994524227,0.579527217,0.044478951,0.041834725,0.514322146,-0.559804746,0.13563703,-0.957632599,-0.815563912,0.244343891,0.223444292,0.223444292,0.713483598,0.476923077,0.915322581,0.131239016,0.174249758
2014,23,461,6.442857143,45.1,32.2,37,39.6,28.43529412,34.7,23.3,7.218253968,55.8,6.135564891,2.0072548,3.83081295,3.502549876,3.63758616,3.703768067,3.382194435,3.575150689,3.19047635,2.106357774,4.039536326,0.597161442,0.10602714,0.103086949,0.431951221,0.117141662,0.418204163,-0.647093741,-0.662646654,0.247171946,0.233261116,0.233261116,0.70102306,0.569230769,0.939516129,0.188880725,0.198451113
2014,24,506,3.885714286,27.2,22.4,27.4,27.6,29.29028361,36.2,22.5,7.103968254,103.7,6.228511004,1.586315495,3.339321978,3.152736022,3.346389145,3.353406718,3.410826988,3.616308761,3.157000421,2.09235385,4.651099118,0.755869468,-0.474420605,-0.474569615,1.453991069,1.809507681,0.041447985,-0.712566062,2.267248014,0.272624434,0.140680762,0.140680762,0.855630608,0.8,0.907258065,0.176727861,0.66214908
