Year,WkNo,Cases,avg_rainfall,tot_rainfall,max_30m_rainfall,max_60m_rainfall,max_120m_rainfall,avg_temp,max_temp,min_temp,avg_wind,max_wind,log_Cases,log_avg_rainfall,log_tot_rainfall,log_max_30m_rainfall,log_max_60m_rainfall,log_max_120m_rainfall,log_avg_temp,log_max_temp,log_min_temp,log_avg_wind,log_max_wind,z_Cases,z_avg_rainfall,z_tot_rainfall,z_avg_temp,z_max_temp,z_min_temp,z_avg_wind,z_max_wind,mm_Cases,mm_avg_rainfall,mm_tot_rainfall,mm_avg_temp,mm_max_temp,mm_min_temp,mm_avg_wind,mm_max_wind,mm_max_30m_rainfall,mm_max_60m_rainfall,mm_max_120m_rainfall,z_max_30m_rainfall,z_max_60m_rainfall,z_max_120m_rainfall
2014,36,339,5.745297619,40.21708333,56.8,71.6,74.6,28.03081633,34.2,21.7,7.370119048,67.7,5.828945618,1.908845613,3.718852814,4.056988776,4.284964922,4.325456283,3.368357898,3.561046083,3.122364924,2.124668108,4.229749199,0.166886348,-0.052312411,-0.0544912,-0.051554625,-0.446980345,-0.335308193,-0.560092847,0.065239496,0.178167421,0.208006247,0.208006247,0.627881437,0.492307692,0.875,0.205029687,0.313649564,0.871165644,0.69785575,0.607491857,1.821156713,1.466709493,1.09305612
2014,37,363,3.20625,22.44375,40,47.4,51.8,28.51809524,34.5,22.6,8.29375,47.9,5.897153868,1.436571514,3.154603935,3.713572067,3.879499814,3.966511191,3.385003473,3.569532696,3.161246712,2.229342131,3.889777396,0.251530629,-0.628652705,-0.628060064,0.530930267,-0.108507141,0.088542507,-0.030960549,-1.14586519,0.191742081,0.116081024,0.116081024,0.715995967,0.538461538,0.911290323,0.303246349,0.121974831,0.613496933,0.461988304,0.421824104,0.573951702,0.236170369,0.133357865
2014,38,397,4.000892857,28.00625,33.2,40.4,40.4,28.68244898,34.1,22.4,8.851785714,90,5.986452005,1.609616468,3.367511324,3.532225644,3.723280881,3.723280881,3.390555928,3.55820113,3.152736022,2.28765273,4.510859507,0.37144336,-0.448276136,-0.448550866,0.727395924,-0.559804746,-0.005646537,0.28872852,1.429261439,0.210972851,0.144850757,0.144850757,0.745716015,0.476923077,0.903225806,0.362586505,0.529525653,0.509202454,0.393762183,0.328990228,0.069130627,-0.1197707,-0.346491263
2014,39,346,4.883928571,34.1875,31.6,44.4,50.2,28.57333333,34.8,22.5,8.067857143,63.4,5.84932478,1.772224663,3.560690906,3.484312288,3.815512105,3.935739532,3.386873054,3.577947893,3.157000421,2.204735979,4.165113633,0.191574263,-0.247835207,-0.249073792,0.596960943,0.229966063,0.041447985,-0.160370685,-0.197778189,0.182126697,0.176820718,0.176820718,0.725984659,0.584615385,0.907258065,0.279225453,0.272023233,0.484662577,0.432748538,0.408794788,-0.049650803,0.083624197,0.066010619
2014,40,339,3.530357143,24.7125,48.4,72.4,73.8,28.65619048,34.8,22.3,7.9375,74.9,5.828945618,1.510800776,3.246977255,3.899950424,4.295923936,4.314817885,3.389670889,3.577947893,3.148453361,2.190255908,4.329416684,0.166886348,-0.555083385,-0.554844515,0.696006957,0.229966063,-0.052741059,-0.235050051,0.505641199,0.178167421,0.127815196,0.127815196,0.740967696,0.584615385,0.899193548,0.265363593,0.383349468,0.742331288,0.705653021,0.600977199,1.197554208,1.507388473,1.059382497
2014,41,280,0.05625,0.39375,2.8,2.8,2.8,29.01047619,34.7,24.2,7.824107143,47.5,5.638354669,0.0547249,0.331997956,1.335001067,1.335001067,1.335001067,3.401546527,3.575150689,3.226843995,2.177487424,3.881563798,-0.041197509,-1.343673531,-1.339642592,1.119514052,0.117141662,0.842054863,-0.30001087,-1.170331951,0.14479638,0.002036509,0.002036509,0.805033098,0.569230769,0.975806452,0.253305673,0.118102614,0.042944785,0.027290448,0.022801303,-2.187716536,-2.031682727,-1.929151543
2014,42,297,5.578151261,39.04705882,33.4,42.4,43.8,28.10963435,35.4,22.8,6.049369748,51.8,5.697093487,1.883753742,3.690055233,3.538056564,3.770459441,3.802208139,3.371069197,3.594568775,3.169685581,1.952938215,3.966511191,0.018758857,-0.090253087,-0.092249431,0.042663099,0.90691247,0.182731552,-1.316727421,-0.907314267,0.154411765,0.201954778,0.201954778,0.642134082,0.676923077,0.919354839,0.06458443,0.159728945,0.512269939,0.413255361,0.356677524,0.083978305,-0.018073251,-0.203378365
2014,43,213,3.032510504,21.22757353,50.2,56.2,60,28.32653061,35.3,22.9,6.094905462,48.2,5.365976015,1.394389136,3.101333569,3.935739532,4.046553898,4.110873864,3.378492588,3.591817741,3.173878459,1.959376986,3.895893623,-0.277496126,-0.668089961,-0.66730768,0.301937184,0.794088069,0.229826074,-1.290640793,-1.127515119,0.106900452,0.109790853,0.109790853,0.681355381,0.661538462,0.923387097,0.069426586,0.124878993,0.76993865,0.547758285,0.488599349,1.331183316,0.683639142,0.4785125
2014,44,186,5.829411765,40.80588235,36.2,40,40.8,28.50505952,35.2,22.2,6.065546218,57.2,5.231108617,1.921238545,3.733037056,3.616308761,3.713572067,3.73289634,3.384561758,3.589059119,3.144152279,1.955230326,4.063885355,-0.372720942,-0.033219279,-0.03548988,0.515347597,0.681263668,-0.099835582,-1.307460199,-0.577012989,0.091628959,0.211051566,0.211051566,0.713638722,0.646153846,0.89516129,0.066304596,0.212003872,0.555214724,0.389863548,0.332247557,0.291845807,-0.140110189,-0.329654451
2014,45,169,12.7210084,89.04705882,45.4,63.2,67.4,27.95267857,35,22.6,6.855462185,91.8,5.135798437,2.618928118,4.500332409,3.837299459,4.162003211,4.225372825,3.365662724,3.583518938,3.161246712,2.06120911,4.53044664,-0.432677307,1.53110933,1.521316391,-0.144959164,0.455614865,0.088542507,-0.854930918,1.539361865,0.082013575,0.460559119,0.460559119,0.613751805,0.615384615,0.911290323,0.150302332,0.546950629,0.696319018,0.615984405,0.548859935,0.974839027,1.039580211,0.789993513
